animeTitle	Garugaku.: Sei Girls Square Gakuin
animeType	TV
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	157
animeRank	
animePopularity	10013
animeDescription	"The anime is set in Holy Girls Square Academy, an academy for training pro star performers. The anime will focus on students who aim to participate in the academy's annual big event, the Girls' Arena.

(Source: ANN)"
animeRelated	['Gal-gaku.: Hijiri Girls Square Gakuin']
animeCharacters	['Kurea', 'Momoka', 'Minami', 'Kira', 'Youka', 'Yuzuha', 'Ran', 'Misaki', 'Toa']
animeVoices	['Masuda, Kurea', 'Sumitani, Momoka', 'Hishida, Minami', 'Yamaguchi, Kira', 'Ogawa, Youka', 'Oda, Yuzuha', 'Ishii, Ran', 'Tsuruya, Misaki', 'Harada, Toa']
animeStaff	[['Akagi, Hiroaki', 'Director'], ['Fujisaku, Junichi', 'Script, Series Composition'], ['Girls²', 'Theme Song Performance'], ['Kyougoku, Takahiko', 'Animation Director']]
