animeTitle	Jigen Sengokushi: Kuro no Shishi - Jinnai-hen
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	1607
animeRank	
animePopularity	7957
animeDescription	"The year is 1580. Using an army of soldiers equipped with sophisticated weaponry, Nobunaga Oda is on the verge of ruling Japan with an iron fist. One of his enforcers is Ginnai Doma - a fallen samurai reborn into an indestructible killing machine. As Ginnai continues his killing spree on ninjas and those who oppose Nobunaga's rule, Shishimaru of the Iga Ninja - going against the Koga Ninja's plans - pursues a one-man vendetta to avenge the deaths of his comrades and kill the immortal warrior.

(Source: ANN)"
animeRelated	['Kuro no Shishi']
animeCharacters	['Doma, Ginnai', 'Hayabusa', 'Tennoh, Shishimaru', 'Saburota', 'Yurimaru', 'Nagatoji', 'Momochi', 'Kojiro', 'Oyu']
animeVoices	['Yara, Yuusaku', 'Orikasa, Ai', 'Matsumoto, Yasunori', 'Hirose, Masashi', 'Tatsuta, Naoki', 'Fujimoto, Yuzuru', 'Tokumaru, Kan', 'Tsujitani, Kouji', 'Amano, Yuri']
animeStaff	[['Watanabe, Takashi', 'Director'], ['Nagai, Go', 'Original Creator'], ['Ohata, Koichi', 'Mechanical Design'], ['Campbell, Charles', 'Recording Engineer']]
