animeTitle	b'Diabolik Lovers More,Blood'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.58
animeUsers	63888
animeRank	
animePopularity	
animeDescription	"b'Yui Komori, still held captive by the Sakamaki brothers\xe2\x80\x94pureblood vampires after her blood\xe2\x80\x94experiences yet more bizarre twists to her life following her stay at their household. Though haunted by enigmatic dreams, Yui soon deciphers their meaning when caught in a car crash, which subsequently leads to meeting four new vampires: the Mukami brothers, Ruki, Azusa, Kou, and Yuuma, who themselves capture the bewildered girl.\n\nYui later awakens in the Mukami mansion, where the brothers reveal their plans for her: she is their ""Eve,"" and her blood will find the ""Adam"" among them; together, they will have the power to rule the world. However, with the Sakamaki brothers hot on their heels, things might not go quite as smoothly as they had imagined.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Diabolik Lovers More,Blood: Mukami-hen', b'Diabolik Lovers']
animeCharacters	[b'Sakamaki, Ayato', b'Sakamaki, Kanato', b'Sakamaki, Laito', b'Sakamaki, Shuu', b'Sakamaki, Subaru', b'Sakamaki, Reiji', b'Mukami, Azusa', b'Mukami, Kou', b'Mukami, Ruki', b'Komori, Yui']
animeVoices	[b'\nMidorikawa, Hikaru\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nHirakawa, Daisuke\nJapanese\n', b'\nToriumi, Kousuke\nJapanese\n', b'\nKondou, Takashi\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nKimura, Ryouhei\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nSuegara, Rie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Risako\n\nDirector\n\n', b'\nKimura, Ryouhei\n\nTheme Song Performance\n\n', b'\nKishio, Daisuke\n\nTheme Song Performance\n\n', b'\nHayashi, Yuuki\n\nMusic\n\n']
