animeTitle	Kipling Jr.
animeType	Movie
animeNumEpisode	1
releaseDate	1995-01-01 00:00:00
endDate	
animeNumMembers	532
animeScore	5.49
animeUsers	283
animeRank	10417
animePopularity	12784
animeDescription	"A fantastic animation adventure about Kipling Jr., his father, mother, and a musical band led by Rog. Advanced animation techniques, yet to be seen on the screen, help to create incredible movements by animated dolls.

(Source: Yamamura Animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
