animeTitle	b'Kairisei Million Arthur'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.48
animeUsers	199
animeRank	
animePopularity	
animeDescription	"b""The animated promotional videos for Square Enix's Kairisei Million Arthur RPG mobile card game launched for iOS and Android on November 19, 2014. It is a sequel to the original game."""
animeRelated	[b'Jakusansei Million Arthur', b'Koukyousei Million Arthur', b'Hangyakusei Million Arthur PV', b'Kakusansei Million Arthur']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
