animeTitle	11eyes Picture Drama
animeType	Special
animeNumEpisode	13
releaseDate	2010-06-25 00:00:00
endDate	
animeNumMembers	4764
animeScore	5.43
animeUsers	1509
animeRank	10585
animePopularity	7124
animeDescription	"Picture drama specials included on the seventh BD volume of the 11eyes series.

The stories focused on the Black Knights with jokes."
animeRelated	['11eyes']
animeCharacters	['Superbia', 'Invidia', 'Acedia', 'Ira', 'Avaritia']
animeVoices	[]
animeStaff	[]
