animeTitle	Loups=Garous #Overture
animeType	OVA
animeNumEpisode	2
releaseDate	2010-08-27 00:00:00
endDate	
animeNumMembers	1706
animeScore	5.43
animeUsers	642
animeRank	10604
animePopularity	9859
animeDescription	Picture drama and pilot released on the Loups=Garous #Overture BluRay. It was a stand-alone release separate from the film, it contained various bonus material like the picture drama and pilot as well as staff interviews and trailers.
animeRelated	['Loups=Garous']
animeCharacters	['Kono, Ayumi', 'Makino, Hazuki']
animeVoices	['Igarashi, Hiromi', 'Oki, Kanae']
animeStaff	[['Fukagawa, Kasumi', '2nd Key Animation']]
