animeTitle	Bishoujo Mobage: Mobami-chan
animeType	ONA
animeNumEpisode	1
releaseDate	2014-08-14 00:00:00
endDate	
animeNumMembers	2350
animeScore	5.33
animeUsers	1006
animeRank	10849
animePopularity	9019
animeDescription	"DeNA promotional anime video for its line of mobile game. The mascot character for the line of games is called Mobami (a combination of ""mobile"" and ""beauty."")

(Source: ANN)"
animeRelated	['Raldessia Chronicles']
animeCharacters	['Mobami']
animeVoices	[]
animeStaff	[['Geso, Ikuo', 'Director, Episode Director, Storyboard, Key Animation, Animation Director, Digital Paint'], ['Yashima, Sarara', 'Theme Song Performance']]
