animeTitle	Shin Saru Kani Gassen
animeType	Movie
animeNumEpisode	1
releaseDate	1939-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.3
animeUsers	227
animeRank	
animePopularity	12934
animeDescription	Crabs ban together to get right of an ape in their peach tree after it keeps stealing their food and hitting them with the fruits to the point where one gets severely injured.
animeRelated	['Nihon Mukashibanashi: Saru Kani', 'Saru to Kani no Gassen', 'Saru Kani Gassen: Ijimekkozaru to Shoujiki Kani-san', 'Saru Kani Gassen']
animeCharacters	['Kani', 'Saru']
animeVoices	[]
animeStaff	[['Masaoka, Kenzou', 'Director']]
