animeTitle	b'Ani ni Tsukeru Kusuri wa Nai! 3'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.68
animeUsers	13530
animeRank	
animePopularity	
animeDescription	"b""Shi Miao is still stuck with her irresponsible elder brother Shi Fen, who lives in neverending fear of his younger sister's stormy temper. As the siblings continue enjoying their carefree high school days alongside their friends and classmates, they realize that there truly is no cure for family.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Please Take My Brother Away', b'Ani ni Tsukeru Kusuri wa Nai! 2', b'Ani ni Tsukeru Kusuri wa Nai! 4']
animeCharacters	[b'Shi, Fen', b'Shi, Miao', b'Kai, Xin', b'Wan, Sui', b'Le, You', b'Miaomiao', b'Butler', b'English Teacher', b'Wan, Xing']
animeVoices	[b'\nNakamura, Yuuichi\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nOno, Kensho\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nMorinaga, Chitose\nJapanese\n', b'\nKatou, Shingo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nRareko\n\nDirector, Script\n\n', b'\nYou, Ling\n\nOriginal Creator\n\n']
