animeTitle	b'Ring of Gundam'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.23
animeUsers	1756
animeRank	
animePopularity	
animeDescription	"b'The story of ""Ring of Gundam"" takes place in a new era long after the events of the first Mobile Suit Gundam series\' One-Year War. In this world setting, a giant 600-kilometer-wide ring now floats in lunar orbit. An Earth Federation Forces member named Eiji discovers an object called ""Beauty Memory"" buried in a high-altitude, massive rockbed on Earth.\n\n(Source: ANN)'"
animeRelated	[b'Mobile Suit Gundam']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
