animeTitle	Sonny Boy
animeType	TV
animeNumEpisode	12
releaseDate	2021-07-16 00:00:00
endDate	2021-10-01 00:00:00
animeNumMembers	
animeScore	7.68
animeUsers	41811
animeRank	
animePopularity	1041
animeDescription	"Thirty-six students find themselves and their school building suddenly adrift in a void-like dimension. When supernatural powers awaken in some of them, a sense of detachment begins to divide the group. Despite the student council's attempts to impose order, they clash with the students possessing special abilities, who rebel against their strict control.

This conflict leads them to discover that this world has its own set of rules—and following them is necessary for survival. After one of the students decides to take a leap of faith, the school switches dimensions once again. While they deal with the unique challenges and circumstances that each world presents, the students must unravel the mysterious phenomenon and find a way back home.

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Mizuho', 'Nagara', 'Nozomi', 'Asakaze', 'Rajdhani', 'Yamabiko', 'Hoshi', 'Kodama', 'Cap', 'War']
animeVoices	['Yuuki, Aoi', 'Ichikawa, Aoi', 'Oonishi, Saori', 'Kobayashi, Chiaki', 'Gotou, Hiroki', 'Tsuda, Kenjirou', 'Naitou, Ami', 'Taketatsu, Ayana', 'Ueda, Youji', 'Yusa, Kouji']
animeStaff	[['Natsume, Shingo', 'Director, Script'], ['Hata, Shouji', 'Sound Director'], ['GING NANG BOYZ', 'Theme Song Performance'], ['Eguchi, Hisashi', 'Original Character Design']]
