animeTitle	Yakimochi Caprice
animeType	Special
animeNumEpisode	2
releaseDate	2011-12-17 00:00:00
endDate	2012-04-09 00:00:00
animeNumMembers	
animeScore	5.03
animeUsers	308
animeRank	
animePopularity	11534
animeDescription	"Special ending animation sequence for the ""Anime Seijin: Tokimeki Recipe"" cooking and talk show. 

The ""nonsensical romantic fantasy"" of the anime centres around a kitten named Loup and a puppy named Noix — both of whom believe that they are actually human girls. 

(Source: ANN) "
animeRelated	[]
animeCharacters	['Noix', 'Loup']
animeVoices	['Hanazawa, Kana', 'Yuuki, Aoi']
animeStaff	[['Yuuki, Aoi', 'Theme Song Performance']]
