animeTitle	Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai
animeType	Special
animeNumEpisode	1
releaseDate	2013-12-15 00:00:00
endDate	
animeNumMembers	30158
animeScore	7.66
animeUsers	14864
animeRank	1159
animePopularity	3278
animeDescription	"A new original animated story included on a bonus mail-order DVD eligible for readers of LaLa's August, October and September 2013 issues.  It was later aired as a special in the broadcast schedule of Natsume Yuujinchou Go on the 16.November 2016.
"
animeRelated	['Natsume Yuujinchou Shi', 'Natsume Yuujinchou Go']
animeCharacters	['Natsume, Takashi', 'Madara', 'Tanuma, Kaname', 'Natori, Shuuichi', 'Taki, Tooru', 'Hinoe', 'Fujiwara, Touko', 'Hiiragi', 'Nishimura, Satoru', 'Sasada, Jun']
animeVoices	['Kamiya, Hiroshi', 'Inoue, Kazuhiko', 'Horie, Kazuma', 'Ishida, Akira', 'Satou, Rina', 'Okamura, Akemi', 'Itou, Miki', 'Yukino, Satsuki', 'Kimura, Ryouhei', 'Sawashiro, Miyuki']
animeStaff	[['Oomori, Takahiro', 'Director'], ['Midorikawa, Yuki', 'Original Creator'], ['Seki, Kazuhiko', 'Editing']]
