animeTitle	b'Ranma \xc2\xbd Super'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.66
animeUsers	7840
animeRank	
animePopularity	
animeDescription	"b'Super OVA 1: Based on a story from vol. 27 of the manga, Shampoo and Ukyo arrange to travel to a cave that is legendary for breaking up couples. They hope they will cause Ranma and Akane to break-up and Shampoo hopes to ditch Mousse the same way.\n\nSuper OVA 2: ""Jaaku no Oni"" (lit. ""The Wicked Demon"") was released in 1995. Based on a story from vol. 29 of the manga, an Oni (that wears a tiger-striped diaper just like the Oni of Urusei Yatsura) escapes it`s sealed box and begins to possess people in the neighborhood.\n\nSuper OVA 3: This is a story from vol. 31. Ranma disturbs a doll that takes revenge on anyone that shows it disrespect. In order to teach Ranma a lesson, the doll possesses Akane and tries on many occasions to attack him. \n\n(Source: AniDB)'"
animeRelated	[b'Ranma \xc2\xbd: Yomigaeru Kioku']
animeCharacters	[b'Saotome, Ranma', b'Tendou, Akane', b'Hibiki, Ryouga', b'Shampoo', b'Kuonji, Ukyo', b'Tendou, Nabiki', b'Saotome, Genma', b'Kuno, Tatewaki', b'Tendou, Kasumi', b'Mousse']
animeVoices	[b'\nHayashibara, Megumi\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n', b'\nSuzuoki, Hirotaka\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Harukichi\n\nTheme Song Composition\n\n', b'\nTakahashi, Rumiko\n\nOriginal Creator\n\n', b'\nNakajima, Atsuko\n\nCharacter Design\n\n', b'\nMatsuura, Akihisa\n\nMusic\n\n']
