animeTitle	b'Gakuentoshi Varanoir Joukan'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	4.77
animeUsers	333
animeRank	
animePopularity	
animeDescription	"b""Based on a Playstation 2 game by the same title, Varanoir's story takes place in a Magic University called.. well Varanoir. Students in this university are trained here for war preparation against the devil master.\n\nThe main characters of the story is Myu, a granddaughter of Jii. Jii was a great swordsman in the past and he taught various sword fighting skills to Myu, although he's working as a chimney cleaner right now in Varanoir. Myu then decides to go to Varanoir for training to become a fighter. In Varanoir, Myu meets Ryuto, a talented student. However, Ryuto always sees Myu as her rival.\n\n(Source: AnimeNfo)"""
animeRelated	[]
animeCharacters	[b'Myu']
animeVoices	[b'\nNonaka, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Yoshiteru\n\nPlanning Producer\n\n', b'\nIdea Factory\n\nOriginal Creator\n\n', b'\nKuwana, Shingo\n\nPlanning\n\n']
