animeTitle	b'Usalullaby'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.74
animeUsers	262
animeRank	
animePopularity	
animeDescription	"b""Increasing in its number, small rabbits take care of a great dolphin. Can the dolphin get to sleep by rabbits' gentle caress? May many people have good sleep and sweet dreams tonight even in the world with whining sounds and wriggle of yin and yang.\n\n(Source: Official Site)"""
animeRelated	[b'Usatalk']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
