animeTitle	b'Lupin III: Part 6'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.65
animeUsers	658
animeRank	
animePopularity	
animeDescription	"b""His name is Lupin III. He is a gentleman thief whose grandfather was the renowned phantom thief Ars\xc3\xa8ne Lupin.\n\nWhen it comes to the art of thievery, there is nothing Lupin III cannot steal; whether it be jewels, works of art, hidden treasures, the secret to immortality, or the heart of a pretty girl.\n\nLupin's partners are Daisuke Jigen, a great gunman; Goemon Ishikawa, a master swordsman; Fujiko Mine, a devilishly clever femme fatale. There is Inspector Zenigata, a relentless ICPO officer, consumed with an obsessive desire to apprehend the masterful thief. \n\n(Source: TMS Entertainment)"""
animeRelated	[b'Lupin III: Part 5', b'Lupin III: Part 6 - Jidai']
animeCharacters	"[b'Lupin III, Arsene', b'Jigen, Daisuke', b'Mine, Fujiko', b'Ishikawa XIII, Goemon', b'Zenigata, Kouichi', b'Yatagarasu, Gorou', b""d'Andr\xc3\xa9sy, Albert""]"
animeVoices	[b'\nKurita, Kanichi\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nShimazaki, Nobunaga\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSuganuma, Eiji\n\nDirector\n\n', b'\nMonkey Punch\n\nOriginal Creator\n\n', b'\nOono, Yuuji\n\nMusic\n\n', b'\nMarufuji, Hirotaka\n\nCharacter Design\n\n']
