animeTitle	b'Nendo no Tatakai 2'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	3.24
animeUsers	1468
animeRank	
animePopularity	
animeDescription	b'Two men are playing rock-paper-scissors, but this version has a painful twist: whoever loses the round will be whacked on the head with a mallet. A bowl will offer them protection from the blow but only if they are quick enough to grab it. Tension builds as the game begins. What will the outcome be?\n\n[Written by MAL Rewrite]'
animeRelated	[b'Nendo no Tatakai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
