animeTitle	b'Mon Cheri CoCo'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A young woman aims to become a famous fashion designer.\n\n(Source: AniDB)'
animeRelated	[b'Mon Cheri CoCo']
animeCharacters	[b'Coco']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYamato, Waki\n\nOriginal Creator\n\n', b'\nIoka, Masahiro\n\nArt Director\n\n', b'\nSuzuki, Mitsuru\n\nAnimation Director\n\n']
