animeTitle	Norasco (TV)
animeType	TV
animeNumEpisode	43
releaseDate	2014-05-19 00:00:00
endDate	2015-03-31 00:00:00
animeNumMembers	279
animeScore	
animeUsers	
animeRank	12450
animePopularity	14846
animeDescription	"musicる TV signed up Norasco for their channel. Some of the ONA's episodes were shown and then the episodes became mostly musicる TV exclusive.
"
animeRelated	['Norasco', 'Norasco: Cinema Point Card-hen']
animeCharacters	['Kotarou']
animeVoices	[]
animeStaff	[]
