animeTitle	Piano
animeType	Music
animeNumEpisode	1
releaseDate	1997-06-02 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17361
animeDescription	A young boy rough houses with the piano. It starts making a strange sound. After it gets fixed he vows to treat it properly. He takes care of it and practices diligently until years later he performs in front of an audience.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
