animeTitle	Sasurai-kun
animeType	TV
animeNumEpisode	13
releaseDate	1992-04-07 00:00:00
endDate	1992-06-30 00:00:00
animeNumMembers	245
animeScore	
animeUsers	
animeRank	13099
animePopularity	15400
animeDescription	Based on the gag manga by Fujio A Fujiko.
animeRelated	[]
animeCharacters	['Sasurai-kun', 'Moguro, Fukuzou']
animeVoices	['Nozawa, Nachi', 'Oohira, Tooru']
animeStaff	[['Yonetani, Yoshitomo', 'Director'], ['Watanabe, Shinichi', 'Episode Director, Storyboard'], ['Daichi, Akitarou', 'Episode Director, Storyboard'], ['Tanami, Yasuo', 'Script']]
