animeTitle	Science Anime: Choudendou Monogatari
animeType	Special
animeNumEpisode	1
releaseDate	1988-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17324
animeDescription	"The science department of the Tosai Shinbun newspaper investigates a story on superconductors, learning all about the mysterious world of subzero electrical conductivity, the Meissner Effect, Brian Josephson's work on ""tunneling"" (flow across an insulating layer without application of voltage), and implications for super-computer technology in the 21st century. Meanwhile, attractive reporter Miss Ohashi begins to find bespectacled scientist Dr. Arai rather attractive.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
