animeTitle	b'Shichigahama de Mitsuketa'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A short anime with the theme of earthquake disaster and reconstruction released by Shichigahama, a town in Miyagi Prefecture.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Yayoi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nIshikawa, Naoya\n\nScript, Storyboard, Key Animation\n\n', b'\nMorita, Shunsuke\n\nMusic\n\n']
