animeTitle	Shimajirou Hesoka
animeType	TV
animeNumEpisode	99
releaseDate	2010-04-05 00:00:00
endDate	2012-03-26 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15038
animeDescription	Third season of the Shimajirou children's television series.
animeRelated	['Hakken Taiken Daisuki! Shimajirou', 'Shimajirou no Wow!']
animeCharacters	['Shimano, Shimajirou', 'Makiba, Ramurin', 'Midorihara, Mimirin', 'Sorano, Torippii']
animeVoices	[]
animeStaff	[]
