animeTitle	Shiritsu Liyon Gakuen
animeType	ONA
animeNumEpisode	17
releaseDate	2016-06-07 00:00:00
endDate	2018-01-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15775
animeDescription	Liyon-chan is MBS's mascot character that born in June 2003.  He is placed in an alternative school setting and meets four other Liyons with unique personalities.
animeRelated	[]
animeCharacters	['Tezukayama, Liyonel', 'Sakuranomiya, Riyon', 'Shitennoji, Raito', 'Maishima, Raiya']
animeVoices	['Miyano, Mamoru', 'Kaji, Yuki', 'Kamiya, Hiroshi', 'Yamashita, Daiki']
animeStaff	[]
