animeTitle	Tamagotchi! Miracle Friends
animeType	TV
animeNumEpisode	29
releaseDate	2013-09-05 00:00:00
endDate	2014-03-27 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13032
animeDescription	"In the new series, Miraitchi and Kururutchi, twin sisters who dream of becoming designers, travel from the future back in time to modern-day Dream Town. (Their names are a wordplay on the Japanese words for ""future"" and ""miracle."")

To get back to the future, they must collect all eight Dreambakutchi — mysterious Tamagotchi who have escaped throughout the town.
Mametchi joins Miraitchi and Kururutchi on their mission to find the Dreambakutchi, but then, an enigmatic Tamagotchi named X-Kamen (X-Mask) appears. 

(Sourse: ANN)"
animeRelated	['Tamagotchi! Yume Kira Dream', 'GO-GO Tamagotchi!']
animeCharacters	['Mametchi', 'Memetchi', 'Miraitchi', 'Kururutchi']
animeVoices	['Kugimiya, Rie', 'Katou, Emiri', 'Saitou, Chiwa']
animeStaff	[['Shimura, Jouji', 'Director'], ['Kugimiya, Rie', 'Theme Song Performance'], ['Saitou, Chiwa', 'Theme Song Performance'], ['Katou, Emiri', 'Theme Song Performance']]
