animeTitle	Turuturutu Narongi
animeType	TV
animeNumEpisode	52
releaseDate	2004-12-01 00:00:00
endDate	2006-01-01 00:00:00
animeNumMembers	207
animeScore	
animeUsers	
animeRank	13985
animePopularity	15915
animeDescription	"Somewhere in this world, there is a town named Lala in a forest called Lulu. This is the home of Nalong and many other furry little creatures.
Nalong lives with his father and 10 brothers, and attends elementary school. His friends are an otter named Ukkya, an ostrich named Tajori, and the Mandu brothers, who were accidentally made by the famous inventor Professor Penguil.

(Source: Wikipedia)"
animeRelated	['Kwaegeol Longman Narongi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
