animeTitle	Uchuu Senkan Yamato 2205: Aratanaru Tabidachi - Zenshou: Take Off
animeType	Movie
animeNumEpisode	1
releaseDate	2021-10-08 00:00:00
endDate	
animeNumMembers	3360
animeScore	
animeUsers	
animeRank	14014
animePopularity	8098
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	"['Uchuu Senkan Yamato: Aratanaru Tabidachi', 'Uchuu Senkan Yamato 2202: Ai no Senshi-tachi', '""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku']"
animeCharacters	['Domon, Ryuusuke']
animeVoices	[]
animeStaff	[['Yasuda, Kenji', 'Director'], ['Yuuki, Nobuteru', 'Character Design'], ['Nishizaki, Yoshinobu', 'Original Creator'], ['Akitaka, Mika', 'Mechanical Design']]
