animeTitle	Unicorn no Kyupi
animeType	TV
animeNumEpisode	Unknown
releaseDate	2017-03-20 00:00:00
endDate	
animeNumMembers	176
animeScore	
animeUsers	
animeRank	14054
animePopularity	16450
animeDescription	"Unicorn no Kyupi is a helpful sprite that lives in the kitchen and polishes dirty pots and pans clean with its fluffy white body. Harigorou, a rival sprite shaped like a hedgehog, tries to interfere. 

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
