animeTitle	Usagi no Mofy (TV)
animeType	TV
animeNumEpisode	26
releaseDate	2012-12-06 00:00:00
endDate	2013-03-28 00:00:00
animeNumMembers	104
animeScore	
animeUsers	
animeRank	14071
animePopularity	17716
animeDescription	The first televised season of Usagi no Mofy. It departs from its original animation style and instead  uses stop-motion with cotton as the medium.
animeRelated	['Usagi no Mofy', 'Usagi no Mofy (TV 2014)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
