animeTitle	Wanpaku Tanteidan
animeType	TV
animeNumEpisode	35
releaseDate	1968-02-01 00:00:00
endDate	1968-09-26 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12361
animeDescription	"A group of young boys (plus a token girl and her little brother, the obligatory brat) form a detective club, pooling their talents for brain, brawn, invention, and driving skills to solve crimes in Tokyo. Much to the consternation of police chief Nakamura, they often succeed where the professionals fail.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
