animeTitle	Hello! Lady Lynn
animeType	TV
animeNumEpisode	36
releaseDate	1988-05-12 00:00:00
endDate	1989-01-26 00:00:00
animeNumMembers	3539
animeScore	7.56
animeUsers	1395
animeRank	1421
animePopularity	7951
animeDescription	"This is the second series of Lady Lady. Every year at Lynn's school, an honorable “Lady Quest” is given to the most sophisticated lady. Lynn strives to receive this honor.

(Source: Toei Animation)"
animeRelated	['Lady Lady!!']
animeCharacters	['Russell, Lynn', 'Montgomery, Sophie', 'Brighton, Edward', 'Drake Brighton, Arthur', 'Frances Russell, Sarah', 'Andrews', 'Waverley, Mary', 'Midorikawa, Misuzu', 'Sara', 'Dorothy']
animeVoices	['Nishihara, Kumiko', 'Mita, Yuuko', 'Kikuchi, Hidehiro', 'Nakahara, Shigeru', 'Kataishi, Chiharu', 'Nagao, Rihoko', 'Doi, Mika', 'Minaguchi, Yuko']
animeStaff	"[['Matsumoto, Yoshihisa', 'Episode Director'], [""D'Avena, Cristina"", 'Theme Song Performance'], ['Tanaka, Kouhei', 'Music'], ['Seki, Hiromi', 'Planning']]"
