animeTitle	Zero Tester: Chikyuu wo Mamore!
animeType	TV
animeNumEpisode	28
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13272
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	['Zero Tester']
animeCharacters	['Fubuki, Shin', 'Lisa', 'Kenmotsu, Tsutomu', 'Hiroshi', 'Tachibana, Dr.', 'Narrator']
animeVoices	['Kamiya, Akira', 'Ichiryuusai, Harumi', 'Hirokawa, Taichirou', 'Ohara, Noriko', 'Kawakubo, Kiyoshi', 'Jinnai, Tatsuyuki']
animeStaff	[['Takahashi, Ryousuke', 'Director, Script'], ['Yasuhiko, Yoshikazu', 'Episode Director, Script, Storyboard, Animation Director'], ['Suginami Jidou Gasshoudan', 'Theme Song Performance'], ['Royal Knights', 'Theme Song Performance']]
