animeTitle	Bakuhatsu Gorou
animeType	TV
animeNumEpisode	26
releaseDate	1970-04-03 00:00:00
endDate	1970-09-25 00:00:00
animeNumMembers	599
animeScore	
animeUsers	
animeRank	14929
animePopularity	12481
animeDescription	"The non-athletic head of the school newspaper department participates in various club activities, including a number of sports clubs, with disastrously hilarious results.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Saegusa, Mayumi', 'Wajima, Ippei', 'Hyoudou, Daisuke', 'Kudou']
animeVoices	['Sugiyama, Kazuko', 'Komiyama, Kiyoshi', 'Ueda, Toshiya', 'Aono, Takeshi']
animeStaff	[['Takagaki, Kouzou', 'Episode Director'], ['Tashiro, Junji', 'Script'], ['Ookuma, Toshihiro', 'Art Director'], ['Tsuji, Naoki', 'Original Creator']]
