animeTitle	Toriko
animeType	TV
animeNumEpisode	147
releaseDate	2011-04-03 00:00:00
endDate	2014-03-30 00:00:00
animeNumMembers	110925
animeScore	7.54
animeUsers	36233
animeRank	1512
animePopularity	1484
animeDescription	"Hamburgers that grow out of the ground like four-leaf clovers, mountain ranges carved out of ice cream, and warm servings of mac and cheese that stew deep within the stomachs of volcanoes fill the landscape. This world of delectable natural wonders has reached a prime age of exploration—the Gourmet Age! Citizens and chefs alike aspire to taste and prepare the finest dishes, while adventurers called ""Gourmet Hunters"" seek out delicious rare ingredients.

Possessing a unique set of skills, the wild and passionate Gourmet Hunter Toriko is infamous for discovering 2% of all known ingredients. Together with his friend Komatsu—a highly skilled chef working at a five-star hotel—Toriko strives to complete his Full Course Menu of Life. But it isn’t going to be easy; in order to obtain the most delicious ingredients, Toriko must battle against obstacles like deadly monsters, evil organizations, and food itself!  

[Written by MAL Rewrite]"
animeRelated	['Toriko', 'One Piece', 'Dragon Ball Z', 'Toriko: Jump Super Anime Tour 2009 Special', 'Toriko 3D: Kaimaku Gourmet Adventure!!', 'Toriko: Barbarian Ivy wo Hokaku Seyo!', 'Toriko Movie: Bishokushin no Special Menu']
animeCharacters	['Toriko', 'Zebra', 'Coco', 'Komatsu', 'Sunny', 'Midora', 'Jirou', 'Ichiryuu', 'Starjun', 'Terry Cloth']
animeVoices	['Okiayu, Ryoutarou', 'Matsuda, Kenji', 'Sakurai, Takahiro', 'Park, Romi', 'Iwata, Mitsuo', 'Minagawa, Junko', 'Morikawa, Toshiyuki', 'Horiuchi, Kenyuu', 'Miki, Shinichiro']
animeStaff	[['Jouno, Masato', 'Producer'], ['Zako, Akifumi', 'Director, Episode Director, Storyboard'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard'], ['Sakai, Munehisa', 'Episode Director']]
