animeTitle	Edokko Boy: Gatten Tasuke
animeType	TV
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13083
animeDescription	Tasuke, a student in a police academy, wanted to be the manager of the academy and arrest all criminals in Edo city. Tasuke is still eleven years old, but, he really wanted to get rid of criminals so the world will be a better place to stay in. Tasuke have three other friends; Omon and the other two. With them, they work together and that is the start of a funny and sometimes serious adventure.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
