animeTitle	b'Fujilog'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The story follows the hapless life of Osamu Fujiyama, 33 years old and NEET (Not in Education, Employment or Training).\n\n(Source: AniDB)'
animeRelated	[b'Fujilog 2nd Season', b'Saitama-ken Zaijuu, Fujiyama Osamu, 33-sai, Mushoku (NEET).: Fujilog Nyuumon-hen', b'Fujilog (ONA)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
