animeTitle	Funassyi no Funafunafuna Biyori
animeType	TV
animeNumEpisode	130
releaseDate	2015-03-30 00:00:00
endDate	2015-09-25 00:00:00
animeNumMembers	306
animeScore	
animeUsers	
animeRank	15631
animePopularity	14491
animeDescription	"Funassyi, the popular pear-shaped mascot character of the Tokyo suburb Funabashi, will premiere its own series of television anime shorts on March 30. The Funassyi no Funafunafuna Hiyori (Funassyi's Aimless Days) shorts will run every weekyday within the morning variety program Sukkiri!! Besides Funassyi, the anime will feature the brand-new character Guressyi (voiced by Lynn) and Nashigami-sama (Naoki Tatsuta).

(Source: ANN) 
"
animeRelated	['Funassyi to Yukaina Kyoudai', 'FunaQ: Funassyi to Soutai-kun']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
