animeTitle	b'Haruniwa Ie no 3 Nin-me'
animeType	b'TV'
animeNumEpisode	45
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The Haruba family is a wonderful family of three kids. The protagonist is the youngest son of the three siblings, who is in actuality, a spirit. The story unfolds in a nostalgic background of Japan and relates the life of this incredible family.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Gon', b'Risako', b'Kimchi', b'Mama', b'Daimaou', b'Maro', b'Poron', b'Papa', b'Yoshiko', b'Sally']
animeVoices	[b'\nTakeuchi, Junko\nJapanese\n', b'\nTakada, Yumi\nJapanese\n', b'\nNagano, Ai\nJapanese\n', b'\nKawashima, Chiyoko\nJapanese\n', b'\nUtsumi, Kenji\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n', b'\nNishihara, Kumiko\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n', b'\nIchiryuusai, Teiyuu\nJapanese\n', b'\nYamamoto, Yuriko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOshima, Michiru\n\nMusic\n\n', b'\nNishizawa, Nobutaka\n\nPlanning\n\n', b'\nOonishi, Youichi\n\nAnimation Director, Character Design\n\n']
