animeTitle	b'Hetalia World Series Specials'
animeType	b'Special'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.5
animeUsers	10526
animeRank	
animePopularity	
animeDescription	b'Extra episodes of Hetalia World Series. \n\nIncludes:\n- Hetalia Extra 1: Chatty Nordics\n- Hetalia Extra 2: Celebrating Halloween\n- Hetalia Extra 3: Previously in Hetalia\n- Hetalia Extra 4: Hetalia = Fantasia '
animeRelated	[b'Hetalia Axis Powers', b'Hetalia World Series']
animeCharacters	[b'North Italy', b'Germany', b'China', b'Iceland', b'United Kingdom', b'Russia', b'America', b'Japan', b'Poland', b'France']
animeVoices	[b'\nNamikawa, Daisuke\nJapanese\n', b'\nYasumoto, Hiroki\nJapanese\n', b'\nKaida, Yuki\nJapanese\n', b'\nAsakura, Ayumu\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nTakato, Yasuhiro\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nTakahashi, Hiroki\nJapanese\n', b'\nTanaka, Kokoro\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMarchi, Jamie\n\nScript, ADR Director\n\n', b'\nNamikawa, Daisuke\n\nTheme Song Performance\n\n', b'\nHimaruya, Hidekaz\n\nOriginal Creator\n\n', b'\nConisch\n\nMusic\n\n']
