animeTitle	Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 2nd Season
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13517
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Jian Wang 3: Xia Gan Yi Dan Shen Jianxin', 'Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 3rd Season', 'Jian Wang 3: Xia Gan Yi Dan Shen Jianxin Zhi Chang Piao']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
