animeTitle	Yozakura Quartet: Tsuki ni Naku
animeType	OVA
animeNumEpisode	3
releaseDate	2013-10-09 00:00:00
endDate	2014-11-07 00:00:00
animeNumMembers	26069
animeScore	7.49
animeUsers	9550
animeRank	1660
animePopularity	3536
animeDescription	"""Tsuki ni Naku"" will take the story content from volume 11 of the manga, which features a visit to a onsen by the members of the Hiizumi Life Councelling Office, while the town's police force have to deal with a new youkai-hunter threat.

This OVA is bundled with the limited edition of the manga (14th, 15th, and 16th)."
animeRelated	['Yozakura Quartet', 'Yozakura Quartet: Hana no Uta']
animeCharacters	['Kishi, Kyousuke', 'Mizuki, Shidou', 'Nanami, Ao', 'Yarizakura, Hime', 'Isone, Kotoha', 'Hiizumi, Akina', 'F, V Lila', 'Shinatsuhiko, Yae', 'F, V Juli', 'Shinatsuhiko, Yuuhi']
animeVoices	['Ono, Daisuke', 'Kase, Yasuyuki', 'Fujita, Saki', 'Fukuen, Misato', 'Sawashiro, Miyuki', 'Kaji, Yuki', 'Kayano, Ai', 'Kuwatani, Natsuko', 'Ookubo, Aiko', 'Matsumoto, Sachi']
animeStaff	[['Nakamura, Shinichi', 'Producer'], ['ryo-timo', 'Director, Episode Director, Storyboard, Character Design, Animation Director'], ['Kobayashi, Hiroshi', 'Episode Director, Storyboard'], ['Yoshizaki, Hibiki', 'Episode Director, Storyboard']]
