animeTitle	b'Kkaemo-ui Moheom'
animeType	b'TV'
animeNumEpisode	84
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'An ""edutainment"" Korean children\'s anime aimed at 4-7 year olds.\n\nIn order to save the Mimi Princess kidnapped by King Kukuma, Prince Choco and Phanang fly from the Choco Star to Earth. At this time, a battle with King Kukuma is unfolded with the help of Awamu and Anto who accidentally met while landing on Earth. In the intergalactic confrontation, children learn life skills of apologies, problem solving, and friendship.\n'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
