animeTitle	Lena Lena
animeType	TV
animeNumEpisode	13
releaseDate	2009-07-04 00:00:00
endDate	2009-09-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15597
animeDescription	"Based on the picture book ""The Adventures of Lena Lena"" by Harriët van Reek about an incredibly curious girl who looks at the world like children do. She explores whatever comes her way, be it a rat, a worm or even her own body."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
