animeTitle	Meiwaku Danchi
animeType	Music
animeNumEpisode	1
releaseDate	1985-04-04 00:00:00
endDate	
animeNumMembers	151
animeScore	
animeUsers	
animeRank	17276
animePopularity	16928
animeDescription	6 children sit in front of the classroom and constantly gossip. When one of them is absent for three days due to a cold, the rest remain quiet as they don't want to leave the other child out from day-to-day gossip.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
