animeTitle	Strike the Blood Final
animeType	OVA
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	4967
animeDescription	Fifth season of Strike the Blood.
animeRelated	['Strike the Blood', 'Strike the Blood IV']
animeCharacters	['Himeragi, Yukina', 'Akatsuki, Kojou', 'Aiba, Asagi', 'Rihavein, La Folia', 'Kirasaka, Sayaka', 'Minamiya, Natsuki', 'Kanase, Kanon', 'Astarte', 'Yaze, Motoki', 'Akatsuki, Nagisa']
animeVoices	['Taneda, Risa', 'Hosoya, Yoshimasa', 'Seto, Asami', 'Oonishi, Saori', 'Hayama, Ikumi', 'Kanemoto, Hisako', 'Itou, Kanae', 'Iguchi, Yuka', 'Oosaka, Ryouta', 'Hidaka, Rina']
animeStaff	[['Yamamoto, Hideyo', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Yoshino, Hiroyuki', 'Series Composition'], ['Mikumo, Gakuto', 'Original Creator']]
