animeTitle	b'Cue!'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[]
animeCharacters	[b'Takatori, Maika', b'Tsukii, Honoka', b'Tendou, Yuuki', b'Maruyama, Rie', b'Hinakuro, Riko', b'Utsugi, Satori', b'Toomi, Mei', b'Miyaji, Mahoro', b'Myoujin, Rinne', b'Yomine, Miharu']
animeVoices	[b'\nHieda, Nene\nJapanese\n', b'\nOgata, Yuuna\nJapanese\n', b'\nTakamura, Ayaka\nJapanese\n', b'\nTachibana, Hina\nJapanese\n', b'\nTsuruno, Arisa\nJapanese\n', b'\nKomine, Ami\nJapanese\n', b'\nTsuchiya, Rio\nJapanese\n', b'\nYamaguchi, Megumi\nJapanese\n', b'\nSatou, Mai\nJapanese\n', b'\nAnzai, Yukari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKatagai, Shin\n\nDirector\n\n', b'\nNakanishi, Ryousuke\n\nMusic\n\n', b'\nUrahata, Tatsuhiko\n\nSeries Composition\n\n', b'\nNishimura, Rie\n\nCharacter Design\n\n']
