animeTitle	Ijirare: Fukushuu Saimin
animeType	OVA
animeNumEpisode	4
releaseDate	2021-02-05 00:00:00
endDate	2021-03-05 00:00:00
animeNumMembers	10467
animeScore	7.36
animeUsers	5095
animeRank	
animePopularity	5262
animeDescription	"Everything and everyone is just a toy to her. Playthings for her to use or destroy. This sad lonely fat kid is no different than an ant on the sidewalk to her... and after she found him sniffing panties in the restroom, she is never going to let him hear the end of it. Or so she thought...

(Source: Hanime)"
animeRelated	['Ijirare: Fukushuu Saimin']
animeCharacters	['Tazaki']
animeVoices	[]
animeStaff	[['Raika, Ken', 'Director'], ['Aiue, Oka', 'Original Creator']]
