animeTitle	b'Joshikousei no Koshitsuki'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.2
animeUsers	4646
animeRank	
animePopularity	
animeDescription	"b'Seduction and sexuality seem to be in the air, water, or both at the school Joshikousei no Koshitsuki. The institute\'s beach volleyball coach got the surprise of his lifetime when the busty and seductive Saori Kiryuu came asking for special training to get over her embarrassment in a swimsuit. Unbeknownst to him, Saori\'s sister was watching the entire time, and she wants their sensei for herself. Now he must come to grips with having two very sexually charged young women in his life whilst attempting to maintain his composure as a teacher.\n\nHe\'s not alone in his erotic misadventures, however. The female tennis team feels strong lust towards the male team, the all-girls billiards club wants at the male manga club, and the drama organization is about to engage in a supreme orgy to help their cast members bolster their own sense of self-worth. When it comes to physical pleasure, there\'s something new to learn for every one of the students and faculty at this ""educational"" institute.'"
animeRelated	[b'Joshikousei no Koshitsuki']
animeCharacters	[b'Kiryuu, Saori', b'Ubukata, Aoi', b'Kojima', b'Kiryuu, Sawa', b'Souma, Azumi', b'Ichinose, Haruka', b'Nakayama, Momoka', b'Ogawa, Mia', b'Ayumi', b'Kana']
animeVoices	[b'\nUchino, Pochi\nJapanese\n', b'\nIchigoyama, Buntarou\nJapanese\n', b'\nAyabe, Yuika\nJapanese\n', b'\nKurata, Mariya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKasahara, Shinpei\n\nDirector\n\n', b'\nSawayama, Shinichiro\n\nScript\n\n', b'\nOtono, Natsu\n\nOriginal Creator\n\n']
