animeTitle	Miira no Kaikata
animeType	TV
animeNumEpisode	12
releaseDate	2018-01-12 00:00:00
endDate	2018-03-30 00:00:00
animeNumMembers	107426
animeScore	7.45
animeUsers	39598
animeRank	1777
animePopularity	1534
animeDescription	"High school student Sora Kashiwagi is accustomed to receiving bizarre presents from his father, who is on an expedition around the world. Unfortunately, these gifts have been nothing but nightmares. As a result, when his father sends him a huge package from Egypt, Sora prepares himself for the worst, only to be greeted by Mii-kun—a cute, pint-sized mummy! While initially wary, Sora soon learns that Mii-kun is harmless, a delicate creature yearning for attention.

Throughout their amusing day-to-day lives, the unlikely pair meet other people with unique pets, while also strengthening their bond together. Although keeping a pet is a difficult task, Sora is set on caring for the lovable Mii-kun.

[Written by MAL Rewrite]"
animeRelated	['Miira no Kaikata']
animeCharacters	['Mii-kun', 'Kashiwagi, Sora', 'Kamiya, Tazuki', 'Conny', 'Isao', 'Mukumuku', 'Motegi, Asa', 'Kashiwagi, Kaede', 'Tachiaki, Daichi', 'Kashiwagi, Mokuren']
animeVoices	['Kayano, Ai', 'Tamura, Mutsumi', 'Koumoto, Keisuke', 'Yamashita, Seiichirou', 'Akaneya, Himika', 'Matsuyama, Takashi']
animeStaff	[['Nasuda, Atsushi', 'Producer'], ['Kaori', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Tsuri Bit', 'Theme Song Performance']]
