animeTitle	Chichiiro Toiki
animeType	OVA
animeNumEpisode	2
releaseDate	2014-05-30 00:00:00
endDate	2014-09-05 00:00:00
animeNumMembers	12835
animeScore	7.05
animeUsers	5228
animeRank	
animePopularity	4792
animeDescription	"Based on the adult manga by Goban.

Takashi's childhood friend Saya and his younger sister Mika may not see him as a real man, but just being around them has been provoking him more and more. Following yet another failed proposal on his part, Saya feels bad for him and lets him grope her breasts, but it quickly gets out of hand and turns into a full night of full-blown sex!

(Source: H-Moe) "
animeRelated	['Chichiiro Toiki']
animeCharacters	['Kawasumi, Saya', 'Mika']
animeVoices	['Misonoo, Mei', 'Ogura, Yui']
animeStaff	[['Sadayama, Yanaha', 'Director'], ['Goban', 'Original Creator']]
