animeTitle	b'Oni Chichi 2: Revenge'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	7384
animeRank	
animePopularity	
animeDescription	"b""Three of the Makino sisters\xe2\x80\x94Natsume, Akira, and Fuyu\xe2\x80\x94plan to attend a school training camp at the beach. Since they must find someone to come with them in their sick adviser's stead, the sisters choose to go along with their father, Kenichi. However, given his illicit desires, Kenichi plans to do more than simple training with them.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Oni Chichi', b'Oni Chichi 2', b'Oni Chichi 2: Harvest']
animeCharacters	[b'Makino, Natsume', b'Makino, Akira', b'Makino, Fuyu', b'Makino, Kenichi', b'Makino, Haruka']
animeVoices	[b'\nIgarashi, Hiromi\nJapanese\n', b'\nKawaragi, Shiho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nBlue Gale\n\nOriginal Creator\n\n', b'\nKinohara, Hikaru\n\nCharacter Design\n\n']
