animeTitle	b'School'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	2064
animeRank	
animePopularity	
animeDescription	"b'Kouta is the school\'s idol loved by all\xe2\x80\x94his teacher and his fellow students. Well, at least the one teacher and three students we see\xe2\x80\x94who are all girls. Actually, they don\'t actually ""love"" him all that much; they just want to screw his brain out. \n\n(Source: AniDB) '"
animeRelated	[]
animeCharacters	[b'Hitomi', b'Aiko', b'Hikaru', b'Rui', b'Kanzaki, Kouta']
animeVoices	[b'\nKajita, Yuuki\nJapanese\n', b'\nMisonoo, Mei\nJapanese\n', b'\nOokubo, Aiko\nJapanese\n', b'\nNatsumura, Isuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAwai, Shigeki\n\nDirector\n\n', b'\nTominaga, Tsuneo\n\nEpisode Director, Storyboard\n\n', b'\nMiyazaki, Maya\n\nOriginal Creator\n\n', b'\nIshihara, Keiji\n\nCharacter Design, Chief Animation Director\n\n']
