animeTitle	b'Ringetsu The Animation'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	1985
animeRank	
animePopularity	
animeDescription	b'Long time ago, the Rindo family was cursed by a monster. Since then, new born babies have been girls. To break the curse, they had to marry persons of the Higetsu family who have strong spiritual power, and have to bear a child by the next red moon. Now, the curse befalls to Rindo Naoto. In order to break the curse, he has to beget a child with one of four sisters of the Higetsus.\n\n(Source: AnimeNfo)'
animeRelated	[b'Shin Ringetsu']
animeCharacters	[b'Higetsu, Shino', b'Higetsu, Ayumi', b'Rindou, Naoto', b'Higetsu, Mizuna', b'Higetsu, Yuiko', b'Higetsu, Suzune', b'Higetsu, Masakazu', b'Rindou, Manzo']
animeVoices	[b'\nIshimatsu, Chiemi\nJapanese\n', b'\nHitomi\nJapanese\n', b'\nAsano, Youji\nJapanese\n', b'\nIwai, Yukiko\nJapanese\n', b'\nHoujou, Asuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Kotaro\n\nProducer\n\n', b'\nHiguchi, Yoshitaka\n\nDirector, Episode Director, Storyboard\n\n', b'\nNakagawa, Tatsuto\n\nSound Director\n\n', b'\nSelen\n\nOriginal Creator\n\n']
