animeTitle	b'Kowaremono: Risa The Animation'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	3539
animeRank	
animePopularity	
animeDescription	"b""Risa runs away from her home, and her uncle's house is the only place she can go to. The uncle has been lonely for a long time, and can't help but notice how much his niece has developed... \n\nBased on the erotic manga by Yoshiron. \n\n(Source: AniDB)"""
animeRelated	[b'Kowaremono:Risa', b'Kowaremono The Animation', b'Kowaremono: Risa Plus The Animation']
animeCharacters	[b'Risa']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshiron\n\nOriginal Creator\n\n']
