animeTitle	Creamy Pie
animeType	OVA
animeNumEpisode	2
releaseDate	2015-10-16 00:00:00
endDate	2015-12-11 00:00:00
animeNumMembers	7001
animeScore	6.47
animeUsers	2406
animeRank	
animePopularity	6142
animeDescription	Based on the adult manga by Emily. 
animeRelated	['Creamy Pie']
animeCharacters	['Sugawara, Aoi', 'Nagamine, Yuzuha']
animeVoices	['Ishihara, Mai', 'Shimura, Yumi']
animeStaff	[['emily', 'Original Creator'], ['Kasumi, Kyouka', 'Director of Photography']]
