animeTitle	b'Shintaisou: Kari'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.29
animeUsers	2257
animeRank	
animePopularity	
animeDescription	"b'A P.E. teacher, Nikusuke, happened to obtain a brief of ""Dark Rhythmic Gymnastics Project"". It is a competition where the players compete with others their lewdness. Following the project, Nikusuke looked for the players with Tomomi, a granddaughter of the board chairman. Their first game was Miku. Tomomi deceived innocent Miku, and she invited Miku out at night.'"
animeRelated	[b'Shintaisou: Kari', b'Shintaisou: Shin']
animeCharacters	[b'Shirakawa, Tomomi', b'Doguro, Nikusuke', b'Haneoka, Miku', b'Aizawa, Yuu', b'Morishita, Kozue', b'Sakurai, Wakana', b'Senge, Madoka']
animeVoices	[b'\nHatamiya, Kanoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Teruaki\n\nDirector, Storyboard, Character Design, Animation Director\n\n', b'\nMomoi, Osamu\n\nScript\n\n', b'\nPanda House\n\nOriginal Creator\n\n']
