animeTitle	Seifuku Shojo The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	1409
animeRank	
animePopularity	7326
animeDescription	"The anime itself depicts teen-aged (and well endowed) school girls getting raped—by her teachers (the first episode), by some ""businessmen"" who mistake the girl for a hooker (the second episode), by a class mate in mad love with the girl (third episode), and finally two sisters being raped by the school janitor.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Motoko', 'Miki']
animeVoices	[]
animeStaff	[['Murakami, Teruaki', 'Director, Storyboard, Animation Director, Character Design'], ['Momoi, Osamu', 'Script'], ['Satou, Hiromu', 'Art Director'], ['Kino, Hitoshi', 'Original Creator']]
