animeTitle	Guren
animeType	OVA
animeNumEpisode	3
releaseDate	2001-09-07 00:00:00
endDate	2002-03-29 00:00:00
animeNumMembers	5196
animeScore	6.14
animeUsers	1592
animeRank	
animePopularity	6897
animeDescription	In a world where demons lurk behind every shadow, ready to ravage any woman who crosses their path, murder and bloodshed are a way of life. A team of feisty female fighters known as the Crimson Lotus is humanity's last hope for survival. When tragedy strikes and one of their members is slaughtered, it's time for the Crimson Lotus to destroy the demons at their source, and bathe the underworld in the blood of vengeance!
animeRelated	[]
animeCharacters	['Haruka', 'Rekka', 'Kureha', 'Tsukikage', 'Ayano', 'Gennai', 'Burai', 'Akagane', 'Akane']
animeVoices	['Ichimura, Oma', 'Chiba, Susumu', 'Saiga, Mitsuki']
animeStaff	[['Okesawa, Hisashi', 'Director'], ['Mizuno, Kazunori', 'Director'], ['Sano, Hiroaki', 'Music'], ['Masudate, Toshihide', 'Character Design']]
