animeTitle	b'Ienai Koto The Animation'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	1740
animeRank	
animePopularity	
animeDescription	b'Hayakawa Rena as school advisor caught her sister, Hayakawa Mina having sex with guy teacher. But Rena is blackmailed into being a plaything for men.\n\n(Source: AniDB)'
animeRelated	[b'Ikenai Koto: Kinjirareta Shoujo no Kairaku', b'Ikenai Koto The Animation']
animeCharacters	[b'Hayakawa, Rena', b'Hayakawa, Mina']
animeVoices	[b'\nMizuguchi, Matsuri\nJapanese\n', b'\nSanada, Akane\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOoyama, Takashi\n\nDirector\n\n', b'\nKurotsuguchi, Narue\n\nEpisode Director, Script, Storyboard, Screenplay\n\n', b'\nShinkai, Kouki\n\nEditing\n\n', b'\nShibata, Shirou\n\nAnimation Director\n\n']
