animeTitle	b'Gibo'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.92
animeUsers	1949
animeRank	
animePopularity	
animeDescription	"b""Yusuke's been very naughty. He's seduced his father's fiancee; transforming her into a debased slave to his own twisted desires. But as his hold on her tightens, his sanity slips, and the forbidden family fun descends into a nightmare of lust! Trapped in madness of their own creation, they will pay the ultimate price for a stepmother's sin!\n\n(Source: RightStuf)"""
animeRelated	[]
animeCharacters	"[b'Yagami, Yusuke', b""Mother, Yusuke's""]"
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Tomohiro\n\nSound Director\n\n', b'\nNishi, Shigenari\n\nEditing\n\n', b'\nSeki, Mieko\n\nColor Setting, Color Design\n\n', b'\nGuilty\n\nOriginal Creator\n\n']
