animeTitle	Kiss yori...
animeType	OVA
animeNumEpisode	3
releaseDate	1999-07-09 00:00:00
endDate	1999-11-19 00:00:00
animeNumMembers	
animeScore	5.84
animeUsers	789
animeRank	
animePopularity	9133
animeDescription	Classes are not easy for Masato, a college student and aspiring novelist. Of course, with all the beautiful women in his life, it's hard to get studying done. There is the tough Rie, the cute Miku, the energetic Chieri, the faithful Kanna, and his high school sweetheart, Chihiro. With all these women to choose from, Masato is about to discover that there just aren't enough seasons in the year. 
animeRelated	[]
animeCharacters	['Fukuroi, Masato', 'Hayasaka, Miku', 'Kashiwazaki, Rei', 'Yamabuki, Kanna', 'Ishimaru, Koji', 'Oka, Yoshiro', 'Asaoka, Chihiro']
animeVoices	['Shizuki, Ami']
animeStaff	[['Kujou, Rion', 'Director, Planning'], ['Raika, Ken', 'Animation Director'], ['Yoshi.Hoka', 'Music']]
